"","Date","std","type","lbs","oz","weights_lbs"
"1",2018-08-19,"20 15.8","Raisin","20","03",20.1875
"2",2018-08-19,"20 15.8","Simone","11","02",11.125
"3",2018-08-19,"20 15.8","Gagne","10","12",10.75
"4",2018-08-22,"20 15.6","Raisin","20","04",20.25
"5",2018-08-22,"20 15.6","Simone","11","04",11.25
"6",2018-08-22,"20 15.6","Gagne","10","13",10.8125
"7",2018-08-24,"20 15.6","Raisin","19","13",19.8125
"8",2018-08-24,"20 15.6","Simone","11","04",11.25
"9",2018-08-24,"20 15.6","Gagne","11","01",11.0625
"10",2018-08-27,"20 15.6","Raisin","19","06",19.375
"11",2018-08-27,"20 15.6","Simone","10","08",10.5
"12",2018-08-27,"20 15.6","Gagne","10","06",10.375
"13",2018-08-29,"20 15.6","Raisin","19","06",19.375
"14",2018-08-29,"20 15.6","Simone","11","00",11
"15",2018-08-29,"20 15.6","Gagne","11","01",11.0625
"16",2018-08-31,"20 15.6","Raisin","19","09",19.5625
"17",2018-08-31,"20 15.6","Simone","11","00",11
"18",2018-08-31,"20 15.6","Gagne","10","12",10.75
"19",2018-09-02,"20 15.6","Raisin","19","10",19.625
"20",2018-09-02,"20 15.6","Simone","10","13",10.8125
"21",2018-09-02,"20 15.6","Gagne","10","10",10.625
"22",2018-09-03,"20 15.6","Raisin","19","08",19.5
"23",2018-09-03,"20 15.6","Simone","10","15",10.9375
"24",2018-09-03,"20 15.6","Gagne","10","13",10.8125
"25",2018-09-04,"20 15.6","Raisin","19","09",19.5625
"26",2018-09-04,"20 15.6","Simone","11","00",11
"27",2018-09-04,"20 15.6","Gagne","10","15",10.9375
"28",2018-09-05,"20 15.6","Raisin","19","08",19.5
"29",2018-09-05,"20 15.6","Simone","11","02",11.125
"30",2018-09-05,"20 15.6","Gagne","11","00",11
"31",2018-09-06,"20 15.6","Raisin","19","07",19.4375
"32",2018-09-06,"20 15.6","Simone","11","00",11
"33",2018-09-06,"20 15.6","Gagne","10","11",10.6875
"34",2018-09-07,"20 15.6","Raisin","19","06",19.375
"35",2018-09-07,"20 15.6","Simone","11","01",11.0625
"36",2018-09-07,"20 15.6","Gagne","11","02",11.125
"37",2018-09-08,"20 15.6","Raisin","19","07",19.4375
"38",2018-09-08,"20 15.6","Simone","11","04",11.25
"39",2018-09-08,"20 15.6","Gagne","10","15",10.9375
"40",2018-09-09,"20 15.6","Raisin","19","08",19.5
"41",2018-09-09,"20 15.6","Simone","11","02",11.125
"42",2018-09-09,"20 15.6","Gagne","10","13",10.8125
"43",2018-09-10,"20 15.6","Raisin","19","07",19.4375
"44",2018-09-10,"20 15.6","Simone","11","02",11.125
"45",2018-09-10,"20 15.6","Gagne","10","13",10.8125
"46",2018-09-11,"20 15.6","Raisin","19","08",19.5
"47",2018-09-11,"20 15.6","Simone","10","15",10.9375
"48",2018-09-11,"20 15.6","Gagne","11","00",11
"49",2018-09-12,"20 15.6","Raisin","19","08",19.5
